"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"378923","Male","None  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",491.4395,462.6239,499.5711
"378924","Male","None  ","No","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Disagree",572.6048,478.1816,533.1406
"378925","Male","One or two times  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Most Lessons","Disagree","Strongly agree","Agree","Strongly agree",388.9313,361.8996,337.3182
"378926","Male","None  ","Yes",NA,"Disagree",NA,"Never heard of it","Most Lessons","Agree","Agree","Disagree","Strongly agree",620.6652,520.4441,533.5136
"378927","Female","None  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Some Lessons","Disagree","Agree","Disagree","Agree",471.4987,490.2521,470.0112
"378928","Female","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Some Lessons","Disagree","Strongly agree","Strongly disagree","Agree",622.6905,532.9066,546.3819
"378929","Female","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it often","Most Lessons","Agree","Agree","Disagree","Strongly agree",642.8649,694.3899,632.2641
"378930","Female","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,635.7766,643.554,676.5573
"378931","Female","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,497.2815,587.714,558.5043
"378932","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Strongly agree","Agree","Disagree","Agree",408.3268,415.587,417.5121
"378933","Female","None  ","No","Strongly agree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,500.4752,491.2848,468.799
"378934","Female","None  ","Yes","Strongly agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,673.1656,655.3892,690.4513
"378935","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,741.4005,688.0354,684.5767
"378936","Male","None  ","Yes",NA,"Agree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Strongly agree","Strongly disagree","Agree",570.1122,538.8086,521.0183
"378937","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Agree",437.1475,449.7423,436.1619
"378938","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it often","Some Lessons","Agree","Agree","Disagree","Agree",575.7205,587.3963,579.765
"378939","Male","One or two times  ","Yes","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,544.563,514.2691,530.3432
"378940","Male","None  ","Yes","Strongly agree","Disagree","Often",NA,"Some Lessons","Agree","Disagree","Strongly disagree","Strongly agree",661.17,578.1841,598.7878
"378941","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,604.697,466.9544,482.7863
"378942","Male","None  ","No","Strongly agree",NA,"Always or almost always","Never heard of it",NA,NA,NA,NA,NA,702.0642,665.5962,709.6606
"378943","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,516.7549,536.1633,543.3047
"378944","Male","None  ","No","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,682.5129,633.5184,659.959
"378945","Male","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Disagree","Strongly agree",592.4677,499.5133,573.3308
"378946","Female","None  ","Yes","Strongly agree","Agree","Sometimes",NA,"Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",553.9882,536.3221,571.1861
"378947","Male","None  ","Yes","Agree","Strongly agree","Never or rarely",NA,"Never or Hardly Ever","Agree","Agree","Disagree","Strongly agree",494.3215,522.7697,553.7486
"378948","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Most Lessons","Disagree","Agree","Agree","Agree",508.9656,466.4732,489.5002
"378949","Male","Five or more times  ","No","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,553.2871,591.8172,582.2827
"378950","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,634.9977,583.7176,617.7173
"378951","Male","One or two times  ","Yes",NA,"Agree",NA,"Never heard of it","Some Lessons","Strongly disagree","Agree","Agree","Agree",515.1192,545.3044,512.3461
"378952","Female","None  ","No","Strongly agree","Strongly agree","Sometimes",NA,"Never or Hardly Ever","Strongly disagree","Strongly agree","Disagree","Strongly disagree",505.694,491.7613,443.342
"378953","Female","None  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Never or Hardly Ever","Disagree","Agree","Strongly agree","Agree",620.4315,573.893,558.3178
"378954","Female","None  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Some Lessons","Strongly disagree","Agree","Agree","Strongly disagree",521.3507,515.9084,549.9254
